"label","lhs","op","rhs","est","se","pval","confint","est_sig","pval_std","confint_std","name","lbound","lboundmet","uboundmet","std_est","std_se","col","matrix","openmx_label","row","class","Category"
"Variances.scl1","scl1","~~","scl1","0.01","0.00","0.00","[0.01, 0.01]","0.01***","0.00","[1.00, 1.00]","class1.S[1,1]",NA,FALSE,FALSE,"1.00","0.00","scl1","S","vscl1","scl1","class1","Variances"
"Variances.scl2","scl2","~~","scl2","0.01","0.00","0.00","[0.01, 0.01]","0.01***","0.00","[1.00, 1.00]","class1.S[2,2]",NA,FALSE,FALSE,"1.00","0.00","scl2","S","vscl2","scl2","class1","Variances"
"Variances.scl3","scl3","~~","scl3","0.01","0.00","0.00","[0.01, 0.01]","0.01***","0.00","[1.00, 1.00]","class1.S[3,3]",NA,FALSE,FALSE,"1.00","0.00","scl3","S","vscl3","scl3","class1","Variances"
"Variances.scl4","scl4","~~","scl4","0.01","0.00","0.00","[0.01, 0.01]","0.01***","0.00","[1.00, 1.00]","class1.S[4,4]",NA,FALSE,FALSE,"1.00","0.00","scl4","S","vscl4","scl4","class1","Variances"
"Variances.scl5","scl5","~~","scl5","0.01","0.00","0.00","[0.01, 0.01]","0.01***","0.00","[1.00, 1.00]","class1.S[5,5]",NA,FALSE,FALSE,"1.00","0.00","scl5","S","vscl5","scl5","class1","Variances"
"Variances.scl6","scl6","~~","scl6","0.01","0.00","0.00","[0.01, 0.02]","0.01***","0.00","[1.00, 1.00]","class1.S[6,6]",NA,FALSE,FALSE,"1.00","0.00","scl6","S","vscl6","scl6","class1","Variances"
"Loadings.i.BY.scl1","i","=~","scl1","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class2.A[1,7]",NA,NA,NA,"0.00","0.00","i","A",NA,"scl1","class2","Loadings"
"Loadings.i.BY.scl2","i","=~","scl2","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class2.A[2,7]",NA,NA,NA,"0.00","0.00","i","A",NA,"scl2","class2","Loadings"
"Loadings.step.BY.scl2","step","=~","scl2","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class2.A[2,8]",NA,NA,NA,"0.00","0.00","step","A",NA,"scl2","class2","Loadings"
"Loadings.i.BY.scl3","i","=~","scl3","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class2.A[3,7]",NA,NA,NA,"0.00","0.00","i","A",NA,"scl3","class2","Loadings"
"Loadings.step.BY.scl3","step","=~","scl3","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class2.A[3,8]",NA,NA,NA,"0.00","0.00","step","A",NA,"scl3","class2","Loadings"
"Loadings.s.BY.scl3","s","=~","scl3","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class2.A[3,9]",NA,NA,NA,"0.00","0.00","s","A",NA,"scl3","class2","Loadings"
"Loadings.i.BY.scl4","i","=~","scl4","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class2.A[4,7]",NA,NA,NA,"0.00","0.00","i","A",NA,"scl4","class2","Loadings"
